Lesson ID;Sentence ID;Category;Chinese;Pinyin;English;Italian;French;Spanish;German;;Greek;Indonesian;;Japanese;Korean;Nederlands;Brazilian;Russian;;Turkish;Ukrainian;Arabic;;;;;;;
1;1;Words;我;wǒ;I;io;je;yo;ich;;;;;;;;;;;;;;;;;;;;
1;2;;你;nǐ;you;tu;tu;tú;du;;;;;;;;;;;;;;;;;;;;
1;3;;他;tā;he;lui;il;él;er;;;;;;;;;;;;;;;;;;;;
1;4;;是;sh;to be;essere;être;ser;sein;;;;;;;;;;;;;;;;;;;;
1;5;;不;bù;not;no;ne…pas;no;nicht;;;;;;;;;;;;;;;;;;;;
1;6;;好;hǎo;good;bene;bien;bien;gut;;;;;;;;;;;;;;;;;;;;
1;7;;吗;ma;question particle;particella interrogativa;particule interrogative;partícula interrogativa;Fragepartikel;;;;;;;;;;;;;;;;;;;;
1;1;Phrases;你好;Nǐ hǎo.;Hello.;Ciao.;Salut.;Hola.;Hallo.;;;;;;;;;;;;;;;;;;;;
1;2;;你好吗？;Nǐ hǎo ma?;How are you?;Come stai?;Comment ça va ?;¿Cómo estás?;Wie geht's?;;;;;;;;;;;;;;;;;;;;
1;3;;我很好;Wǒ hěn hǎo.;I’m fine.;Sto bene.;Je vais bien.;Estoy bien.;Mir geht's gut.;;;;;;;;;;;;;;;;;;;;
1;4;;你不好吗？;Nǐ bù hǎo ma?;Are you not well?;Non ti senti bene?;Tu ne vas pas bien ?;¿No estás bien?;Geht's dir nicht gut?;;;;;;;;;;;;;;;;;;;;
1;5;;我不是你！;Wǒ bù shì nǐ.;I am not you!;Io non sono te!;Je ne suis pas toi!;¡Yo no soy tú!;Ich bin nicht du!;;;;;;;;;;;;;;;;;;;;
1;6;;你不是我！;Nǐ bù shì wǒ!;You are not me!;Tu non sei me!;Tu n'es pas moi !;¡Tú no eres yo!;Du bist nicht ich!;;;;;;;;;;;;;;;;;;;;
1;7;;他不好;Tā bù hǎo.;He’s not okay.;Lui non sta bene.;Il ne va pas bien.;Él no está bien.;Ihm geht's nicht gut.;;;;;;;;;;;;;;;;;;;;
2;1;Words;很;hěn;very;molto;très;muy;sehr;;;;;;;;;;;;;;;;;;;;
2;2;;谁;shéi;who;chi;qui;quién;wer;;;;;;;;;;;;;;;;;;;;
2;3;;什么;shénme;what;cosa;quoi;qué;was;;;;;;;;;;;;;;;;;;;;
2;4;;名字;míngzi;name;nome;nom;nombre;Name;;;;;;;;;;;;;;;;;;;;
2;5;;叫;jiào;to be called;essere chiamato;être appelé;llamarse;wie man heißt;;;;;;;;;;;;;;;;;;;;
2;6;;的;de;"possessive particle (""’s"")";particella possessiva (“'s”);particule possessive (« 's »);partícula posesiva («'s»);Possessivpartikel („'s“);;;;;;;;;;;;;;;;;;;;
2;7;;人;rén;person;persona;personne;persona;Person;;;;;;;;;;;;;;;;;;;;
2;1;Phrases;你叫什么名字？;Nǐ jiào shénme míngzi?;What is your name?;Come ti chiami?;Comment tu t'appelles?;¿Cómo te llamas?;Wie heißt du?;;;;;;;;;;;;;;;;;;;;
2;2;;我叫王明。;Wǒ jiào Wáng Míng.;I am called Wang Ming.;Mi chiamo Wang Ming.;Je m'appelle Wang Ming.;Me llamo Wang Ming.;Ich heiße Wang Ming.;;;;;;;;;;;;;;;;;;;;
2;3;;他叫什么？;Tā jiào shénme?;What is his name?;Come si chiama lui?;Comment il s'appelle?;¿Cómo se llama él?;Wie heißt er?;;;;;;;;;;;;;;;;;;;;
2;4;;你的名字很好。;Nǐ de míngzi hěn hǎo.;Your name is very good.;Il tuo nome è molto bello.;Ton nom est très bien.;Tu nombre es muy bonito.;Dein Name ist sehr schön.;;;;;;;;;;;;;;;;;;;;
2;5;;他是中国人。;Tā shì Zhōngguó rén.;He is Chinese.;Lui è cinese.;Il est chinois.;Él es chino.;Er ist Chinese.;;;;;;;;;;;;;;;;;;;;
2;6;;你是谁？;Nǐ shì shéi?;Who are you?;Chi sei?;Qui es-tu?;¿Quién eres tú?;Wer bist du?;;;;;;;;;;;;;;;;;;;;
2;7;;我不是他的人。;Wǒ bù shì tā de rén.;I am not his person.;Io non sono lui.;Je ne suis pas lui.;Yo no soy él.;Ich bin nicht seine Person.;;;;;;;;;;;;;;;;;;;;
3;1;Words;这;zhè;this;questo;ce;esto;dieser;;;;;;;;;;;;;;;;;;;;
3;2;;那;nà;that;quello;ça;ese;jener;;;;;;;;;;;;;;;;;;;;
3;3;;谁的;shéi de;whose;di chi;à qui;¿de quién?;wessen;;;;;;;;;;;;;;;;;;;;
3;4;;什么的;shénme de;and so on;e così via;et cetera;etcétera;und so weiter;;;;;;;;;;;;;;;;;;;;
3;5;;哪里;nǎlǐ;where;dove;où;¿dónde?;wo;;;;;;;;;;;;;;;;;;;;
3;6;;家;jiā;home, family;casa, famiglia;maison, famille;casa, familia;Zuhause, Familie;;;;;;;;;;;;;;;;;;;;
3;7;;学校;xuéxiào;school;scuola;école;escuela;Schule;;;;;;;;;;;;;;;;;;;;
3;1;Phrases;这是谁的名字？;Zhè shì shéi de míngzi?;Whose name is this?;Di chi è questo nome?;À qui appartient ce nom ?;¿De quién es este nombre?;Wessen Name ist das?;;;;;;;;;;;;;;;;;;;;
3;2;;那是什么？;Nà shì shénme?;What is that?;Cos'è quello?;Qu'est-ce que c'est ?;¿Qué es eso?;Was ist das?;;;;;;;;;;;;;;;;;;;;
3;3;;这是什么的？;Zhè shì shénme de?;What kind of thing is this?;Che tipo di cosa è questa?;Quel genre de chose est-ce ?;¿Qué tipo de cosa es esta?;Was für eine Sache ist das?;;;;;;;;;;;;;;;;;;;;
3;4;;你的家很好。;Nǐ de jiā hěn hǎo.;Your home is very good.;La tua casa è molto bella.;Ta maison est très belle.;Tu casa es muy bonita.;Dein Zuhause ist sehr schön.;;;;;;;;;;;;;;;;;;;;
3;5;;他不在家。;Tā bù zài jiā.;He is not at home.;Lui non è a casa.;Il n'est pas à la maison.;Él no está en casa.;Er ist nicht zu Hause.;;;;;;;;;;;;;;;;;;;;
3;6;;学校在哪里？;Xuéxiào zài nǎlǐ?;Where is the school?;Dov'è la scuola?;Où est l'école ?;¿Dónde está la escuela?;Wo ist die Schule?;;;;;;;;;;;;;;;;;;;;
3;7;;你在学校吗？;Nǐ zài xuéxiào ma?;Are you at school?;Sei a scuola?;Es-tu à l'école ?;¿Estás en la escuela?;Bist du in der Schule?;;;;;;;;;;;;;;;;;;;;
4;1;Words;了;le;(aspect particle: completed action);particella (azione completata);particule (action achevée);partícula (acción completada);Partikel (abgeschlossene Handlung);;;;;;;;;;;;;;;;;;;;
4;2;;在;zài;"at; in; be present at";"a; in";"à; dans";en;"bei; in";;;;;;;;;;;;;;;;;;;;
4;3;;有;yǒu;"to have; there is";avere;avoir;tener;haben;;;;;;;;;;;;;;;;;;;;
4;4;;个;gè;(general measure word);classificatore generale;classificateur général;clasificadora general;allgemeines Zählwort;;;;;;;;;;;;;;;;;;;;
4;5;;就;jiù;"just; then; right away";"proprio; quindi";"juste; donc";"justo; entonces";"gerade; also";;;;;;;;;;;;;;;;;;;;
4;6;;啊;a;"(modal particle)…ah; eh?";particella modale (ah);particule modale (ah);partícula modal (ah);Modalpartikel (ach);;;;;;;;;;;;;;;;;;;;
4;7;;都;dōu;"all; both";"tutti; entrambi";"tous; les deux";"todos; ambos";"alle; beide";;;;;;;;;;;;;;;;;;;;
4;1;Phrases;我在家了。;Wǒ zài jiā le.;I am at home now.;Sono a casa adesso.;Je suis à la maison maintenant.;Estoy en casa ahora.;Ich bin jetzt zu Hause.;;;;;;;;;;;;;;;;;;;;
4;2;;他都有了。;Tā dōu yǒu le.;He has them all now.;Lui li ha tutti adesso.;Il les a tous maintenant.;Él los tiene todos ahora.;Er hat sie jetzt alle.;;;;;;;;;;;;;;;;;;;;
4;3;;我有个名字了。;Wǒ yǒu gè míngzi le.;I have a name now.;Ho un nome adesso.;J'ai un nom maintenant.;Ahora tengo un nombre.;Ich habe jetzt einen Namen.;;;;;;;;;;;;;;;;;;;;
4;4;;你好啊。;Nǐ hǎo a.;Hello (casual).;Ciao.;Salut.;Hola.;Hallo.;;;;;;;;;;;;;;;;;;;;
4;5;;你都在吗？;Nǐ dōu zài ma?;Are you all here?;Siete tutti qui?;Êtes-vous tous ici?;¿Están todos aquí?;Seid ihr alle hier?;;;;;;;;;;;;;;;;;;;;
4;6;;都在这。;Dōu zài zhè.;They are all here.;Sono tutti qui.;Ils sont tous ici.;Todos están aquí.;Sie sind alle hier.;;;;;;;;;;;;;;;;;;;;
4;7;;他就在家。;Tā jiù zài jiā.;He is right at home.;Lui è proprio a casa.;Il est justement à la maison.;Él está justo en casa.;Er ist gerade zu Hause.;;;;;;;;;;;;;;;;;;;;
5;1;Words;也;yě;"also; too";anche;aussi;también;auch;;;;;;;;;;;;;;;;;;;;
5;2;;要;yào;"to want; to need";volere;vouloir;querer;wollen;;;;;;;;;;;;;;;;;;;;
5;3;;去;qù;to go;andare;aller;ir;gehen;;;;;;;;;;;;;;;;;;;;
5;4;;说;shuō;"to speak; to say";parlare;parler;decir;sprechen;;;;;;;;;;;;;;;;;;;;
5;5;;和;hé;"and; with";e con;et avec;y con;und mit;;;;;;;;;;;;;;;;;;;;
5;6;;会;huì;"can; to be able to; meeting";"riuscire; potere";pouvoir;poder;können;;;;;;;;;;;;;;;;;;;;
5;7;;看;kàn;"to see; to look at; to watch";vedere;voir;ver;sehen;;;;;;;;;;;;;;;;;;;;
5;1;Phrases;你要去吗？;Nǐ yào qù ma?;Do you want to go?;Vuoi andare?;Tu veux y aller?;¿Quieres ir?;Willst du gehen?;;;;;;;;;;;;;;;;;;;;
5;2;;我会说。;Wǒ huì shuō.;I can speak.;Posso parlare.;Je peux parler.;Puedo hablar.;Ich kann sprechen.;;;;;;;;;;;;;;;;;;;;
5;3;;他也会说。;Tā yě huì shuō.;He can speak too.;Lui sa parlare anche.;Lui aussi peut parler.;Él también puede hablar.;Er kann auch sprechen.;;;;;;;;;;;;;;;;;;;;
5;4;;你和他说吗？;Nǐ hé tā shuō ma?;Are you speaking with him?;Parli con lui?;Tu parles avec lui?;¿Hablas con él?;Sprichst du mit ihm?;;;;;;;;;;;;;;;;;;;;
5;5;;我要看。;Wǒ yào kàn.;I want to see.;Voglio vedere.;Je veux voir.;Quiero ver.;Ich möchte sehen.;;;;;;;;;;;;;;;;;;;;
5;6;;他去？;Tā qù?;Is he going?;Lui va?;Il y va?;¿Él va?;Geht er?;;;;;;;;;;;;;;;;;;;;
5;7;;我也去。;Wǒ yě qù.;I am going too.;Vado anch'io.;J'y vais aussi.;Yo también voy.;Ich gehe auch.;;;;;;;;;;;;;;;;;;;;
6;1;Words;吧;ba;modal particle (suggestion);particella modale;particule modale;partícula modal;Modalpartikel;;;;;;;;;;;;;;;;;;;;
6;2;;自己;zìjǐ;"self; oneself";te stesso;soi-même;uno mismo;sich selbst;;;;;;;;;;;;;;;;;;;;
6;3;;到;dào;"to arrive; until";"arrivare; fino a";"arriver; jusqu'à";"llegar; hasta";"ankommen; bis";;;;;;;;;;;;;;;;;;;;
6;4;;来;lái;to come;venire;venir;venir;kommen;;;;;;;;;;;;;;;;;;;;
6;5;;给;gěi;to give;dare;donner;dar;geben;;;;;;;;;;;;;;;;;;;;
6;6;;上;shàng;"up; to go up";"su; salire";"sur; monter";"encima; subir";"oben; hinaufgehen";;;;;;;;;;;;;;;;;;;;
6;7;;想;xiǎng;"to think; to want";"pensare; desiderare";"penser; vouloir";"pensar; querer";"denken; möchten";;;;;;;;;;;;;;;;;;;;
6;1;Phrases;我想来。;Wǒ xiǎng lái.;I want to come.;Voglio venire.;Je veux venir.;Quiero venir.;Ich will kommen.;;;;;;;;;;;;;;;;;;;;
6;2;;给我吧。;Gěi wǒ ba.;Give me, please.;Dammi, per favore.;Donne-moi, s’il te plaît.;Dame, por favor.;Gib mir, bitte.;;;;;;;;;;;;;;;;;;;;
6;3;;他自己来了。;Tā zìjǐ lái le.;He came himself.;Lui è venuto da solo.;Il est venu tout seul.;Él vino solo.;Er ist selbst gekommen.;;;;;;;;;;;;;;;;;;;;
6;4;;我到了。;Wǒ dào le.;I have arrived.;Sono arrivato.;Je suis arrivé.;He llegado.;Ich bin angekommen.;;;;;;;;;;;;;;;;;;;;
6;5;;上吧。;Shàng ba.;Go up.;Su, dai.;Allez, monte.;Arriba, vamos.;Hoch los.;;;;;;;;;;;;;;;;;;;;
6;6;;你自己想吧。;Nǐ zìjǐ xiǎng ba.;Think for yourself.;Pensa tu.;Réfléchis toi-même.;Piensa tú mismo.;Denk selbst nach.;;;;;;;;;;;;;;;;;;;;
6;7;;你到家了吧？;Nǐ dào jiā le ba?;You’ve arrived home, right?;Sei arrivato a casa, vero?;Tu es arrivé chez toi, n’est-ce pas ?;¿Has llegado a casa, verdad?;Bist du zu Hause angekommen, oder?;;;;;;;;;;;;;;;;;;;;
7;1;Words;还;hái;"still; yet; moreover";ancora;encore;aún;noch;;;;;;;;;;;;;;;;;;;;
7;2;;着;zhe;continuing aspect particle;(aspetto in corso);(aspectif progressif);(aspecto continuo);(Verlaufsaspekt);;;;;;;;;;;;;;;;;;;;
7;3;;真;zhēn;"really; truly";veramente;vraiment;realmente;wirklich;;;;;;;;;;;;;;;;;;;;
7;4;;我们;wǒmen;"we; us";noi;nous;nosotros;wir;;;;;;;;;;;;;;;;;;;;
7;5;;爱;ài;"to love; love";amare;aimer;amar;lieben;;;;;;;;;;;;;;;;;;;;
7;6;;大;dà;"big; large";grande;grand;grande;groß;;;;;;;;;;;;;;;;;;;;
7;7;;没;méi;"not; have not";"non avere; non";"ne pas avoir; pas";"(no) haber; no";"tun nicht haben; nicht";;;;;;;;;;;;;;;;;;;;
7;1;Phrases;我还在家。;Wǒ hái zài jiā.;I am still at home.;Sono ancora a casa.;Je suis encore à la maison.;Estoy aún en casa.;Ich bin noch zu Hause.;;;;;;;;;;;;;;;;;;;;
7;2;;他没来。;Tā méi lái.;He did not come.;Il non è venuto.;Il n'est pas venu.;Él no vino.;Er ist nicht gekommen.;;;;;;;;;;;;;;;;;;;;
7;3;;我们爱学习。;Wǒmen ài xuéxí.;We love studying.;Noi amiamo studiare.;Nous aimons étudier.;Nosotros amamos estudiar.;Wir lieben Lernen.;;;;;;;;;;;;;;;;;;;;
7;4;;这真大。;Zhè zhēn dà.;This is really big.;Questo è veramente grande.;C'est vraiment grand.;Esto es realmente grande.;Das ist wirklich groß.;;;;;;;;;;;;;;;;;;;;
7;5;;我真爱你。;Wǒ zhēn ài nǐ.;I really love you.;Ti amo veramente.;Je t'aime vraiment.;Te amo de verdad.;Ich liebe dich wirklich.;;;;;;;;;;;;;;;;;;;;
7;6;;我还没去。;Wǒ hái méi qù.;I still haven't gone.;Non ci sono ancora andato.;Je ne suis pas encore allé.;Aún no he ido.;Ich bin noch nicht gegangen.;;;;;;;;;;;;;;;;;;;;
7;7;;他看着我。;Tā kàn zhe wǒ.;He is looking at me.;Mi sta guardando.;Il me regarde.;Él me está mirando.;Er sieht mich an.;;;;;;;;;;;;;;;;;;;;
8;1;Words;太;tài;"too; excessively";troppo;trop;demasiado;zu;;;;;;;;;;;;;;;;;;;;
8;2;;又;yòu;"again; also";"di nuovo; ancora";"à nouveau; encore";"otra vez; también";"wieder; auch";;;;;;;;;;;;;;;;;;;;
8;3;;中;zhōng;"middle; China";"mezzo; Cina";"milieu; Chine";"medio; China";"Mitte; China";;;;;;;;;;;;;;;;;;;;
8;4;;吃;chī;to eat;mangiare;manger;comer;essen;;;;;;;;;;;;;;;;;;;;
8;5;;这个;zhège;this;questo;"ceci; ce";"este; esto";dieses;;;;;;;;;;;;;;;;;;;;
8;6;;年;nián;year;anno;an;año;Jahr;;;;;;;;;;;;;;;;;;;;
8;7;;天;tiān;day;giorno;jour;día;Tag;;;;;;;;;;;;;;;;;;;;
8;1;Phrases;太好了！;Tài hǎo le!;That’s great!;È fantastico!;C'est génial!;¡Esto es genial!;Das ist großartig!;;;;;;;;;;;;;;;;;;;;
8;2;;又是你！;Yòu shì nǐ!;It’s you again!;Sei di nuovo tu!;C'est encore toi!;¡Eres tú otra vez!;Du bist es schon wieder!;;;;;;;;;;;;;;;;;;;;
8;3;;你是中国人吗？;Nǐ shì Zhōngguó rén ma?;Are you Chinese?;Sei cinese?;Es-tu chinois?;¿Eres chino?;Bist du Chinese?;;;;;;;;;;;;;;;;;;;;
8;4;;我吃了。;Wǒ chī le.;I ate.;Ho mangiato.;J'ai mangé.;He comido.;Ich habe gegessen.;;;;;;;;;;;;;;;;;;;;
8;5;;这个好。;Zhège hǎo.;This is good.;Questo è buono.;C'est bon.;Esto está bien.;Das ist gut.;;;;;;;;;;;;;;;;;;;;
8;6;;今年很好。;Jīnnián hěn hǎo.;This year is very good.;Quest'anno è molto buono.;Cette année est très bonne.;Este año es muy bueno.;Dieses Jahr ist sehr gut.;;;;;;;;;;;;;;;;;;;;
8;7;;今天是好天。;Jīntiān shì hǎo tiān.;Today is a good day.;Oggi è una bella giornata.;Aujourd'hui est une belle journée.;Hoy es un buen día.;Heute ist ein guter Tag.;;;;;;;;;;;;;;;;;;;;
9;1;Words;得;de;(complement marker);(markatore di risultato);(marque de résultat);(marcador de complemento);(Resultatmarker);;;;;;;;;;;;;;;;;;;;
9;2;;过;guò;(experiential aspect particle);(particella aspetto esperienziale);(particule aspectuelle expérientielle);(partícula de aspecto experiencial);(Erfahrungspartikel);;;;;;;;;;;;;;;;;;;;
9;3;;没有;méiyǒu;"to not have; there is not";"non avere; non c'è";"ne pas avoir; il n'y a pas";"no tener; no hay";"nicht haben; es gibt nicht";;;;;;;;;;;;;;;;;;;;
9;4;;可以;kěyǐ;"can; may";"potere; essere permesso";"pouvoir; être autorisé";"poder; permiso";"können; dürfen";;;;;;;;;;;;;;;;;;;;
9;5;;就是;jiùshì;"exactly; just";"precisamente; proprio";"précisément; juste";"exactamente; justo";"genau; gerade";;;;;;;;;;;;;;;;;;;;
9;6;;最;zuì;most;"più; massimo";le plus;"más; máximo";"am meisten; höchst";;;;;;;;;;;;;;;;;;;;
9;7;;能;néng;"to be able to; ability";"potere; capacità";"pouvoir; capacité";"poder; capacidad";"können; Fähigkeit";;;;;;;;;;;;;;;;;;;;
9;1;Phrases;我做得很好。;Wǒ zuò de hěn hǎo.;I did very well.;Ho fatto molto bene.;Je l'ai très bien fait.;Lo hice muy bien.;Ich habe es sehr gut gemacht.;;;;;;;;;;;;;;;;;;;;
9;2;;我去过中国。;Wǒ qù guò Zhōngguó.;I have been to China.;Sono stato in Cina.;J'ai été en Chine.;He estado en China.;Ich bin in China gewesen.;;;;;;;;;;;;;;;;;;;;
9;3;;我没有钱。;Wǒ méiyǒu qián.;I don't have money.;Non ho soldi.;Je n'ai pas d'argent.;No tengo dinero.;Ich habe kein Geld.;;;;;;;;;;;;;;;;;;;;
9;4;;我可以来吗？;Wǒ kěyǐ lái ma?;May I come?;Posso venire?;Puis-je venir ?;¿Puedo venir?;Darf ich kommen?;;;;;;;;;;;;;;;;;;;;
